trial_id,participante,kata,tratamento,issue,status,sucesso,censurado,diretorio_existe,solucao_existe,prompt_ia_existe,metricas_rq30_existe,rastreabilidade_ok,alertas
c4f8a07e-78db-4bc6-a243-bb2d70d8e483,bblop,kata01_frete_progressivo,com_ia,32,sucesso,True,False,False,False,True,True,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado
8f2bd412-1fb9-4228-a4ca-d5e8e03583f9,bblop,kata03_deduplicador_contatos,com_ia,36,sucesso,True,False,False,False,True,True,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado
74119062-092a-4dfa-afad-568b63999833,Joao_Pedro,kata03_deduplicador_contatos,sem_ia,42,sucesso,True,False,False,False,True,False,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado;metricas_rq30_nao_encontradas_para_trial
74119062-092a-4dfa-afad-568b63999833,Joao_Pedro,kata03,sem_ia,42,sucesso,True,False,False,False,True,False,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado;metricas_rq30_nao_encontradas_para_trial
1b0baab8-45ad-497d-b67a-1920d27caaf2,bblop,kata02_calculo_estacionamento,sem_ia,<ISSUE>,sucesso,True,False,False,False,True,False,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado;metricas_rq30_nao_encontradas_para_trial
2a995e85-9ef4-4003-a9e8-08e11c9ff88e,bblop,kata04_calculo_tarifa_energia,sem_ia,<ISSUE>,sucesso,True,False,False,False,True,False,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado;metricas_rq30_nao_encontradas_para_trial
759e6fc4-a722-42d0-a883-0346934b94a0,bblop,kata02_calculo_estacionamento,sem_ia,<ISSUE>,sucesso,True,False,False,False,True,False,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado;metricas_rq30_nao_encontradas_para_trial
eb37c024-0acc-4c0f-85cc-28e8635b7a08,bblop,kata04_calculo_tarifa_energia,sem_ia,<ISSUE>,sucesso,True,False,False,False,True,False,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado;metricas_rq30_nao_encontradas_para_trial
2d7f4589-1640-4201-add9-13252095a77b,bblop,kata04_calculo_tarifa_energia,sem_ia,47,sucesso,True,False,False,False,True,False,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado;metricas_rq30_nao_encontradas_para_trial
a3639fe7-e3eb-41bf-883b-ef2da981b564,Arthur,kata01_frete_progressivo,sem_ia,37,sucesso,True,False,True,True,True,True,True,
13cee879-f4ab-4c50-814f-62f3ab70b005,Arthur,kata03_deduplicador_contatos,sem_ia,36,sucesso,True,False,True,True,True,True,True,
2fd701b3-9f0b-4f05-a2b8-bddb93ba4d20,Joao_Pedro,kata04_calculo_tarifa_energia,com_ia,49,sucesso,True,False,False,False,True,False,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado;metricas_rq30_nao_encontradas_para_trial
0df5d1fd-d623-4967-a0bf-28372bc7b411,Joao_Pedro,kata02_calculo_estacionamento,sem_ia,41,sucesso,True,False,False,False,True,False,False,diretorio_do_trial_nao_encontrado;solucao_py_nao_encontrado;metricas_rq30_nao_encontradas_para_trial
6e8d797e-a498-4ebf-a515-1356cc53d16c,Arthur,kata02_calculo_estacionamento,com_ia,38,sucesso,True,False,True,True,True,True,True,
677810b8-e310-4ddd-aa0c-8086c0be0748,Arthur,kata04_calculo_tarifa_energia,com_ia,48,sucesso,True,False,True,True,True,True,True,
